"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote","Exchange"
"TLT","iShares 20+ Year Treasury Bond ETF","122.41","$6.06B","n/a","n/a","n/a","http://www.nasdaq.com/symbol/tlt","NASDAQ"
"AIA","iShares Asia 50 ETF","52.08","$395.81M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/aia","NASDAQ"
"COMT","iShares Commodities Select Strategy ETF","34.42","$227.17M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/comt","NASDAQ"
"IXUS","iShares Core MSCI Total International Stock ETF","54.74","$4.93B","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ixus","NASDAQ"
"FALN","iShares Fallen Angels USD Bond ETF","27.37","$10.95M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/faln","NASDAQ"
"IFEU","iShares FTSE EPRA/NAREIT Europe Index Fund","34.7741","$41.73M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ifeu","NASDAQ"
"IFGL","iShares FTSE EPRA/NAREIT Global Real Estate ex-U.S. Index Fund","27.935","$502.83M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ifgl","NASDAQ"
"IGF","iShares Global Infrastructure ETF","42.46","$1.58B","n/a","n/a","n/a","http://www.nasdaq.com/symbol/igf","NASDAQ"
"GNMA","iShares GNMA Bond ETF","49.88","$172.09M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gnma","NASDAQ"
"HYXE","iShares iBoxx $ High Yield ex Oil & Gas Corporate Bond ETF","51.81","$10.36M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/hyxe","NASDAQ"
"JKI","iShares Morningstar Mid-Cap ETF","147.82","$384.33M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/jki","NASDAQ"
"ACWX","iShares MSCI ACWI ex US Index Fund","43.51","$2.07B","n/a","n/a","n/a","http://www.nasdaq.com/symbol/acwx","NASDAQ"
"ACWI","iShares MSCI ACWI Index Fund","63.15","$6.52B","n/a","n/a","n/a","http://www.nasdaq.com/symbol/acwi","NASDAQ"
"AAXJ","iShares MSCI All Country Asia ex Japan Index Fund","62.59","$2.97B","n/a","n/a","n/a","http://www.nasdaq.com/symbol/aaxj","NASDAQ"
"EWZS","iShares MSCI Brazil Small-Cap ETF","13.54","$57.55M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ewzs","NASDAQ"
"MCHI","iShares MSCI China ETF","50","$2.19B","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mchi","NASDAQ"
"ESGD","iShares MSCI EAFE ESG Optimized ETF","59.8","$119.6M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/esgd","NASDAQ"
"SCZ","iShares MSCI EAFE Small-Cap ETF","54.08","$7.26B","n/a","n/a","n/a","http://www.nasdaq.com/symbol/scz","NASDAQ"
"ESGE","iShares MSCI EM ESG Optimized ETF","60.76","$51.65M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/esge","NASDAQ"
"EEMA","iShares MSCI Emerging Markets Asia Index Fund","59.65","$313.16M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/eema","NASDAQ"
"EUFN","iShares MSCI Europe Financials Sector Index Fund","19.99","$901.55M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/eufn","NASDAQ"
"IEUS","iShares MSCI Europe Small-Cap ETF","47.925","$93.45M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ieus","NASDAQ"
"MPCT","iShares MSCI Global Impact ETF","51.4615","$20.58M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mpct","NASDAQ"
"ENZL","iShares MSCI New Zealand Capped ETF","42.12","$149.53M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/enzl","NASDAQ"
"QAT","iShares MSCI Qatar Capped ETF","19.4201","$46.61M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/qat","NASDAQ"
"UAE","iShares MSCI UAE Capped ETF","17.18","$42.95M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/uae","NASDAQ"
"ESGU","iShares MSCI USA ESG Optimized ETF","51.5975","$5.16M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/esgu","NASDAQ"
"IBB","iShares Nasdaq Biotechnology Index Fund","288.36","$8.22B","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ibb","NASDAQ"
"SOXX","iShares PHLX SOX Semiconductor Sector Index Fund","133.01","$891.17M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/soxx","NASDAQ"
"EMIF","iShares S&P Emerging Markets Infrastructure Index Fund","31.6052","$47.41M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/emif","NASDAQ"
"ICLN","iShares S&P Global Clean Energy Index Fund","8.55","$80.37M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/icln","NASDAQ"
"WOOD","iShares S&P Global Timber & Forestry Index Fund","58.25","$241.16M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/wood","NASDAQ"
"INDY","iShares S&P India Nifty 50 Index Fund","32.66","$857.33M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/indy","NASDAQ"
"ISHG","iShares S&P/Citigroup 1-3 Year International Treasury Bond Fun","78.3626","$70.53M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ishg","NASDAQ"
"IGOV","iShares S&P/Citigroup International Treasury Bond Fund","91.63","$609.34M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/igov","NASDAQ"
"ISLE","Isle of Capri Casinos, Inc.","26.85","$1.11B","n/a","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/isle","NASDAQ"
"ISRL","Isramco, Inc.","119","$323.41M","1983","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/isrl","NASDAQ"
"ITI","Iteris, Inc.","5.89","$189.89M","n/a","Consumer Durables","Telecommunications Equipment","http://www.nasdaq.com/symbol/iti","NASDAQ"
